FieldKey,Type,Primary,Nullable,Default,Computed,DerivesFrom,FKTarget,EnumGroup,Constraints,SourceSystem,UpdatePolicy,Indexed,Sensitivity,Description,Example,Notes
scope_key,text,True,False,,False,,,,CHECK (scope_key ~ '^[a-z0-9_]+$'),Workflow,controlled,True,internal,Machine-readable scope key for role applicability,project,"Examples: person, project, client_contact, booking_attendee."
display_name,text,False,False,,False,,,,,Workflow,editable,False,internal,Human-friendly scope name,Project,
sort_order,int,False,False,0,False,,,,,Workflow,editable,False,internal,Ordering value,10,
created_at,timestamptz,False,False,now(),True,system,,,,Supabase,immutable,True,internal,Row creation timestamp,2025-01-01T00:00:00Z,
updated_at,timestamptz,False,True,,True,system,,,,Supabase,system,False,internal,Row update timestamp,2025-01-10T00:00:00Z,
