FieldKey,Type,Primary,Nullable,Default,Computed,DerivesFrom,FKTarget,EnumGroup,Constraints,SourceSystem,UpdatePolicy,Indexed,Sensitivity,Description,Example,Notes
tag_key,text,TRUE,FALSE,,FALSE,,,,CHECK (tag_key ~ '^[a-z0-9_\-]+$'),Workflow,controlled,TRUE,internal,Machine-readable tag key (slug),warm_lead,
display_name,text,FALSE,FALSE,,FALSE,,,,,Workflow,editable,FALSE,internal,Human-friendly tag name,Warm Lead,
created_at,timestamptz,FALSE,FALSE,now(),TRUE,system,,,,Supabase,immutable,TRUE,internal,Row creation timestamp,2025-01-01T12:00:00Z,
updated_at,timestamptz,FALSE,TRUE,,TRUE,system,,,,Supabase,system,FALSE,internal,Row update timestamp,2025-01-05T09:30:00Z,
